country_code,population
AW,107995.0
AF,42647492.0
AO,37885849.0
AL,2377128.0
AD,81938.0
AE,10986400.0
AR,45696159.0
AM,3033500.0
AS,46765.0
AG,93772.0
AU,27196812.0
AT,9177982.0
AZ,10202830.0
BI,14047786.0
BE,11858610.0
BJ,14462724.0
BF,23548781.0
BD,173562364.0
BG,6441421.0
BH,1588670.0
BS,401283.0
BA,3164253.0
BY,9132629.0
BZ,417072.0
BM,64636.0
BO,12413315.0
BR,211998573.0
BB,282467.0
BN,462721.0
BT,791524.0
BW,2521139.0
CF,5330690.0
CA,41288599.0
CH,9005582.0
CL,19764771.0
CN,1408975000.0
CI,31934230.0
CM,29123744.0
CD,109276265.0
CG,6332961.0
CO,52886363.0
KM,866628.0
CV,524877.0
CR,5129910.0
CU,10979783.0
CW,155967.0
KY,74457.0
CY,1358282.0
CZ,10905028.0
DE,83516593.0
DJ,1168722.0
DM,66205.0
DK,5976992.0
DO,11427557.0
DZ,46814308.0
EC,18135478.0
EG,116538258.0
ER,3535603.0
ES,48848840.0
EE,1372341.0
ET,132059767.0
FI,5619911.0
FJ,928784.0
FR,68551653.0
FO,54681.0
FM,113160.0
GA,2538952.0
GB,69226000.0
GE,3699557.0
GH,34427414.0
GI,39329.0
GN,14754785.0
GM,2759988.0
GW,2201352.0
GQ,1892516.0
GR,10405134.0
GD,117207.0
GL,56836.0
GT,18406359.0
GU,167777.0
GY,831087.0
HK,7524100.0
HN,10825703.0
HR,3866200.0
HT,11772557.0
HU,9562065.0
ID,283487931.0
IM,84160.0
IN,1450935791.0
IE,5395790.0
IR,91567738.0
IQ,46042015.0
IS,386506.0
IL,9974400.0
IT,58952704.0
JM,2839175.0
JO,11552876.0
JP,123975371.0
KZ,20592571.0
KE,56432944.0
KG,7221868.0
KH,17638801.0
KI,134518.0
KN,46843.0
KR,51751065.0
KW,4897263.0
LA,7769819.0
LB,5805962.0
LR,5612817.0
LY,7381023.0
LC,179744.0
LI,40450.0
LK,21916000.0
LS,2337423.0
LT,2888278.0
LU,677012.0
LV,1866124.0
MO,687000.0
MF,26129.0
MA,38081173.0
MC,38631.0
MD,2402306.0
MG,31964956.0
MV,527799.0
MX,130861007.0
MH,37548.0
MK,1824359.0
ML,24478595.0
MT,568847.0
MM,54500091.0
ME,623525.0
MN,3524788.0
MP,44278.0
MZ,34631766.0
MR,5169395.0
MU,1245779.0
MW,21655286.0
MY,35557673.0
NC,292639.0
NE,27032412.0
NG,232679478.0
NI,6916140.0
NL,17993485.0
NO,5572279.0
NP,29651054.0
NR,11947.0
NZ,5287500.0
OM,5281538.0
PK,251269164.0
PA,4515577.0
PE,34217848.0
PH,115843670.0
PW,17695.0
PG,10576502.0
PL,36559233.0
PR,3203295.0
KP,26498823.0
PT,10694681.0
PY,6929153.0
PS,5289152.0
PF,281807.0
QA,2857822.0
RO,19051804.0
RU,143533851.0
RW,14256567.0
SA,35300280.0
SD,50448963.0
SN,18501984.0
SG,6036860.0
SB,819198.0
SL,8642022.0
SV,6338193.0
SM,33977.0
SO,19009151.0
RS,6586476.0
SS,11943408.0
ST,235536.0
SR,634431.0
SK,5422069.0
SI,2127400.0
SE,10569709.0
SZ,1242822.0
SX,43350.0
SC,121354.0
SY,24672760.0
TC,46535.0
TD,20299123.0
TG,9515236.0
TH,71668011.0
TJ,10590927.0
TM,7494498.0
TL,1400638.0
TO,104175.0
TT,1368333.0
TN,12277109.0
TR,85518661.0
TV,9646.0
TZ,68560157.0
UG,50015092.0
UA,37860221.0
UY,3386588.0
US,340110988.0
UZ,36361859.0
VC,100616.0
VE,28405543.0
VG,39471.0
VI,104377.0
VN,100987686.0
VU,327777.0
WS,218019.0
YE,40583164.0
ZA,64007187.0
ZM,21314956.0
ZW,16634373.0
